Date,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
01-01,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8,0.0,0.0,0.0,0.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.3,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,1.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3,0.0,0.0,7.6,2.5,0.0,0.0,0.0,0.0,3.2,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.4,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,1.6,0.0,1.4,4.8,0.0,0.0,0.0,1.0,0.0,0.0,11.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,0.2
01-02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8,0.0,0.0,0.0,0.0,8.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.5,0.0,0.0,0.0,0.3,0.0,6.6,0.0,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.6,2.0,0.0,0.0,0.0,7.6,0.0,2.5,0.0,12.7,0.0,0.0,0.0,0.0,0.0,15.2,1.3,0.0,1.0,0.0,0.0,0.3,0.0,0.0,0.0,0.0,20.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6,0.0,0.0,0.0,5.0,0.0,,0.0,4.0,0.0,7.6,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,5.8,0.0,1.2,0.0,1.4,,0.0,1.2,0.0,0.0,0.0,,1.4,0.4,0.0,0.0,0.0
01-03,9.7,0.0,3.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8,0.0,0.0,0.0,2.8,10.2,9.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.5,0.0,0.0,0.0,0.0,0.0,4.6,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,9.1,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,,3.0,0.4,0.0,0.0,0.0,0.0,0.0,2.8,0.0,0.0,,0.0,0.0,,0.8,0.0,8.4,0.0,0.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6,0.0,0.0,0.0,,0.2,0.8,0.4,0.4,10.0,0.6,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8,0.0
01-04,0.0,0.0,0.0,0.0,2.0,0.0,1.0,0.0,0.0,6.6,0.0,0.5,1.0,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,5.1,0.5,0.5,2.5,0.0,0.0,0.0,0.0,0.5,0.0,,0.0,0.0,0.0,2.5,0.0,4.3,0.0,0.0,2.5,1.5,0.0,0.3,0.0,0.0,4.8,4.3,0.8,0.0,6.9,0.5,2.0,0.0,4.6,0.0,0.0,0.0,1.3,0.0,0.0,0.0,0.0,0.0,0.0,2.6,2.2,0.0,0.0,5.0,2.6,1.0,0.2,0.0,0.0,0.0,3.0,0.0,0.2,0.0,,0.0,6.0,0.8,1.2,4.4,0.0,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.8,2.2,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,8.7,0.0,6.0,1.0,3.0,0.0
01-05,0.0,6.6,0.0,1.3,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.3,0.0,0.5,0.0,1.8,0.0,0.0,0.0,2.0,6.1,0.0,2.0,0.0,0.5,11.2,0.0,0.0,1.0,10.9,0.0,0.0,0.0,0.0,6.9,0.0,,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.3,0.0,0.8,0.0,0.0,8.1,0.0,1.8,0.0,0.0,8.1,1.3,1.3,0.0,4.3,0.0,1.8,6.9,0.0,0.0,0.0,0.0,3.4,0.4,0.0,0.0,0.0,0.0,1.0,0.0,0.0,,0.0,0.0,2.2,0.0,0.0,7.0,0.0,0.2,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,10.0,0.2,0.0,1.4,2.0,3.4,,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.8,0.0,8.4,0.0,0.0,0.0,3.4,0.0,0.0,0.2,1.0
01-06,0.0,0.0,0.8,2.8,0.0,0.8,1.8,7.6,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.8,0.0,0.0,1.3,0.0,0.5,0.5,2.0,0.0,4.1,0.0,,6.4,12.7,1.3,0.0,5.1,2.0,0.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.2,1.8,0.0,0.0,4.3,1.5,0.0,0.0,0.0,0.0,0.0,0.5,7.6,0.0,,0.5,0.5,5.6,0.5,1.5,0.0,0.0,0.0,,0.0,18.4,0.0,0.8,2.0,2.0,1.4,0.6,11.6,0.0,0.0,0.0,0.0,2.8,0.2,0.0,0.0,1.2,7.0,0.0,0.0,0.0,0.0,8.0,6.4,0.4,3.0,2.0,0.0,0.8,0.0,2.2,0.2,0.0,0.0,0.0,0.2,,3.8,8.8,0.0,0.0,0.4,2.5,5.0,0.0,1.2,1.0,0.0
01-07,2.5,0.0,4.3,3.0,0.0,0.0,0.8,1.0,0.0,0.3,0.8,0.8,0.0,11.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3,0.0,0.0,0.0,0.0,12.4,0.0,0.8,0.8,0.0,0.0,0.8,0.0,0.0,0.0,6.4,1.3,0.0,1.5,0.0,0.0,1.0,0.0,5.8,0.0,0.0,2.5,1.5,0.0,0.3,0.0,0.0,0.8,0.0,0.3,0.8,0.0,0.8,0.5,0.3,0.0,0.5,0.0,6.0,0.0,0.0,6.4,,0.0,0.0,0.0,0.0,3.6,0.0,0.0,0.2,0.0,2.0,,0.0,0.8,0.2,0.4,0.0,2.2,1.0,0.0,0.0,2.6,1.5,0.0,0.0,1.6,4.6,2.0,0.0,3.6,1.6,3.2,0.2,0.0,0.2,0.0,1.0,0.0,5.2,0.0,0.0,0.0,0.0,0.0,0.0,0.2,8.2
01-08,0.3,0.0,0.0,0.0,0.8,0.0,0.0,0.0,0.3,0.5,0.0,0.0,0.0,0.0,2.0,0.3,0.0,0.0,0.0,0.0,0.0,1.8,4.6,0.0,2.5,0.0,8.6,0.0,0.0,0.5,0.0,0.0,4.6,0.8,0.0,8.9,0.0,0.0,3.6,,1.8,0.5,0.0,1.8,0.8,0.0,0.5,2.5,0.0,0.0,0.0,0.0,0.3,0.0,0.0,0.3,1.5,0.0,2.5,0.0,0.3,8.1,0.0,0.0,0.0,0.0,0.0,7.6,0.2,2.2,,2.8,0.0,1.0,0.0,,0.0,0.8,0.4,7.6,1.2,,5.4,14.0,0.0,2.4,0.0,0.0,8.6,0.6,2.0,0.0,3.5,0.0,0.0,6.0,,0.6,0.0,0.0,4.8,1.8,0.6,2.2,0.2,0.0,0.0,0.0,5.0,0.0,0.0,0.0,,0.0,0.0,17.6,0.2,0.0,
01-09,4.1,0.0,8.9,3.0,1.0,0.0,0.0,0.5,1.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,1.3,0.0,0.0,0.0,0.0,8.4,0.0,0.0,0.0,6.9,0.3,1.3,0.0,0.0,1.3,1.0,2.8,0.0,0.0,0.0,12.7,2.3,0.0,0.0,0.0,2.3,4.8,0.0,1.0,0.5,0.0,2.8,0.0,0.0,0.0,0.0,0.0,4.1,0.0,1.3,0.0,0.0,0.0,0.0,0.0,0.8,0.0,3.8,0.0,3.0,0.0,0.0,,1.0,1.0,0.0,0.0,0.0,0.0,0.4,0.0,0.6,0.0,0.0,6.6,3.2,0.0,10.0,0.0,0.0,3.8,18.6,0.0,0.4,0.0,1.8,0.0,0.0,1.0,0.2,0.2,4.6,0.8,0.2,0.0,0.0,1.2,1.4,4.6,0.0,0.2,0.0,0.0,0.0,0.0,0.0,2.2,,0.2,0.0,0.0,1.0,
01-10,0.0,2.3,0.0,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5,0.3,0.0,0.0,0.0,6.4,1.8,0.0,0.0,,4.3,0.0,0.0,0.0,5.8,0.0,0.0,0.0,0.0,,1.3,0.0,0.0,8.9,1.0,0.0,0.0,2.5,0.0,0.0,11.4,0.0,0.0,0.0,2.5,6.6,0.0,0.0,3.6,6.9,0.0,0.0,3.0,0.0,5.1,4.1,0.0,3.3,1.0,0.0,1.0,0.0,4.6,,0.0,0.0,0.0,0.0,2.2,,0.0,6.0,0.0,7.6,0.4,0.0,1.2,0.0,0.4,0.2,,0.0,0.0,0.0,0.0,0.4,0.0,,,0.0,0.0,0.0,4.0,7.6,0.2,0.2,0.0,0.0,0.0,3.2,0.0,0.0,0.2,10.0,0.0,0.4,2.8,0.0,0.2,0.0,0.0,0.0,2.4,,0.0,0.0,
